,k,acc,aucroc
0,1,0.7125,0.7788048552754434
0,2,0.835,0.8522875816993463
0,3,0.6275,0.7549019607843137
0,4,0.615,0.738375350140056
0,5,0.51,0.6802987861811391
0,6,0.5175,0.680765639589169
