,k,acc,aucroc
0,1,0.9375,0.9001867413632121
0,2,0.9525,0.8968253968253969
0,3,0.965,0.9391223155929038
0,4,0.9675,0.9321195144724557
0,5,0.9675,0.9407096171802054
0,6,0.965,0.9305322128851542
